Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
DIS3-APPR6312-Part 2,2024/09/23,08:00:00,2024/09/23,08:05:00,FALSE,FALSE,2024/09/23,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
HAW1-WEDE5020-Part 2,2024/09/26,08:00:00,2024/09/26,08:05:00,FALSE,FALSE,2024/09/26,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-CLDV6212-Part 2,2024/09/27,08:00:00,2024/09/27,08:05:00,FALSE,FALSE,2024/09/27,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -PROG6112-Written on Campus Test,2024/09/30,08:00:00,2024/09/30,08:05:00,FALSE,FALSE,2024/09/30,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS3-OPSC6312-Part 2,2024/09/30,08:00:00,2024/09/30,08:05:00,FALSE,FALSE,2024/09/30,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-OPSC7312-Part 2,2024/09/30,08:00:00,2024/09/30,08:05:00,FALSE,FALSE,2024/09/30,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-DATA6222-Written on Campus Test,2024/10/01,08:00:00,2024/10/01,08:05:00,FALSE,FALSE,2024/10/01,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-SOEN6222-Part 1,2024/10/01,08:00:00,2024/10/01,08:05:00,FALSE,FALSE,2024/10/01,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
HAW1-MAST5112-Part 2,2024/10/08,08:00:00,2024/10/08,08:05:00,FALSE,FALSE,2024/10/08,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-IPMA6212-Assignment 2,2024/10/08,08:00:00,2024/10/08,08:05:00,FALSE,FALSE,2024/10/08,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-ADDB7311-Practical Assignment 2,2024/10/08,08:00:00,2024/10/08,08:05:00,FALSE,FALSE,2024/10/08,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-APDS7311-Part 2,2024/10/08,08:00:00,2024/10/08,08:05:00,FALSE,FALSE,2024/10/08,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -PRSE6212-Assignment 2,2024/10/10,08:00:00,2024/10/10,08:05:00,FALSE,FALSE,2024/10/10,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -PROG6112-Written on Campus Deferred Test,2024/10/14,08:00:00,2024/10/14,08:05:00,FALSE,FALSE,2024/10/14,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS1po-OPSY5121-Assignment 2,2024/10/14,08:00:00,2024/10/14,08:05:00,FALSE,FALSE,2024/10/14,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-DATA6222-Written on Campus Deferred Test,2024/10/15,08:00:00,2024/10/15,08:05:00,FALSE,FALSE,2024/10/15,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
HAW1-PIXD5112-Part 2,2024/10/15,08:00:00,2024/10/15,08:05:00,FALSE,FALSE,2024/10/15,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -NWEG5122-Part 2,2024/10/16,08:00:00,2024/10/16,08:05:00,FALSE,FALSE,2024/10/16,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS3-SQAT6322-Assignment 2,2024/10/17,08:00:00,2024/10/17,08:05:00,FALSE,FALSE,2024/10/17,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA3-PROG7312-Part 2,2024/10/17,08:00:00,2024/10/17,08:05:00,FALSE,FALSE,2024/10/17,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-PROG6212-Part 2,2024/10/18,08:00:00,2024/10/18,08:05:00,FALSE,FALSE,2024/10/18,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-PROG6212-Part 2,2024/10/18,08:00:00,2024/10/18,08:05:00,FALSE,FALSE,2024/10/18,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA1 -ITPP5112-Assignment 2,2024/10/22,08:00:00,2024/10/22,08:05:00,FALSE,FALSE,2024/10/22,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
DIS2po-HCIN6222-Part 2,2024/10/22,08:00:00,2024/10/22,08:05:00,FALSE,FALSE,2024/10/22,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
BCA2-SOEN6222-Part 2,2024/10/25,08:00:00,2024/10/25,08:05:00,FALSE,FALSE,2024/10/25,08:00:00,,,,,,Assessments,,,,Normal,FALSE,Normal,2
